contrast,odds.ratio,SE,df,null,t.ratio,p.value
Savanna GYM_HAR / Thicket SCU_MYR,1.554542251321022,0.4776709286323965,364,1,1.4357890886810962,0.9977981591125162
Forest ACA_ROB / Forest EUC_RAC,0.44606587825201743,0.251239911387963,364,1,-1.4333069503661149,0.9978479921943393
Forest GYM_HAR / Savanna SPI_AFR,1.7605415461207843,0.7007342755000731,364,1,1.4210808742671899,0.9980795534932507
Thicket GYM_HAR / Thicket SCU_MYR,1.48377956716885,0.4219803742882904,364,1,1.3874778641599192,0.9986087752018378
Thicket ACA_ROB / Forest KRA_FLO,0.5868924371925396,0.22585806388651408,364,1,-1.3847769041739295,0.9986451966933814
Thicket GYM_HAR / Savanna SID_INE,0.7181245555561225,0.1738529946898597,364,1,-1.3677063042450732,0.9988568119913666
Savanna ACA_ROB / Thicket SCU_MYR,0.6534544296696472,0.21030874752709386,364,1,-1.3220249526880932,0.9992879862641566
Forest ACA_ROB / Thicket ACA_ROB,0.4796471305163035,0.26665447472819265,364,1,-1.3215564779877427,0.9992915396084313
Forest KRA_FLO / Savanna SID_INE,0.6582358692057798,0.2135058476633487,364,1,-1.2892805674076258,0.9995018319817064
Thicket SID_INE / Savanna SPI_AFR,1.7077010602505545,0.7142507963056938,364,1,1.279484613350616,0.9995536581419304
Forest SCU_MYR / Thicket SID_INE,0.7056009930334919,0.1935408532936976,364,1,-1.2712915593518135,0.9995932818453142
Savanna SCU_MYR / Forest SID_INE,0.6477907675183019,0.2233241467298909,364,1,-1.2594368938507754,0.9996451022109076
Forest EUC_RAC / Forest KRA_FLO,0.6310755588932974,0.23105203944336616,364,1,-1.2573046751952608,0.9996537743886793
Thicket ACA_ROB / Thicket SPI_AFR,1.5417815669795476,0.5350502190428377,364,1,1.2475404063576505,0.9996911327649984
Savanna EUC_RAC / Savanna SID_INE,0.7444866305205982,0.17652981941224333,364,1,-1.2443705676634862,0.9997024658712054
Thicket ACA_ROB / Forest SCU_MYR,0.6730907837466061,0.23221931527081122,364,1,-1.147449155944675,0.999912329775678
Savanna EUC_RAC / Savanna SPI_AFR,1.56300915137842,0.6118726691479599,364,1,1.140858376379334,0.9999197913284583
Savanna SID_INE / Forest SPI_AFR,1.5817392750741766,0.6432059956125469,364,1,1.1275813393059058,0.9999331107501412
Savanna EUC_RAC / Forest SCU_MYR,1.2971508644661556,0.3009653682816695,364,1,1.1213250988940888,0.9999386655797251
Savanna GYM_HAR / Savanna SPI_AFR,1.579565134653617,0.647951168763988,364,1,1.114432027320351,0.9999443005680528
Thicket ACA_ROB / Forest SPI_AFR,0.6110474782790446,0.27920597930945595,364,1,-1.0780218410586235,0.9999670249924899
Savanna GYM_HAR / Savanna SID_INE,0.7523725141014056,0.1993833892650576,364,1,-1.0736492252537724,0.9999690914386106
