contrast,estimate,SE,df,t.ratio,p.value
Savanna SCU_MYR - Savanna SPI_AFR,1.2022236936666661,1.2089482185521216,443.22140882374686,0.9944377064441113,0.9999913216756189
Savanna SCU_MYR - Thicket SPI_AFR,-1.4014835482916705,0.8659472964833645,443.95897946342683,-1.6184397757035944,0.990285099496597
Thicket SCU_MYR - Forest SID_INE,-6.370787637866626,1.6633888596262352,444.6852670252705,-3.8300049931187754,0.022384453656349446
Thicket SCU_MYR - Savanna SID_INE,-8.429838634866666,1.1015465740187194,443.9160224512836,-7.652730110278036,6.533218410709196e-12
Thicket SCU_MYR - Thicket SID_INE,-6.817018457311112,1.1225589068913915,444.69897827345886,-6.0727489804422925,5.608380455601747e-7
Thicket SCU_MYR - Forest SPI_AFR,-1.8352433711166625,1.8058511751939315,444.28544188918914,-1.0162760898165235,0.9999876046228376
Thicket SCU_MYR - Savanna SPI_AFR,1.395069616800002,1.3511251523632037,443.3204107439298,1.0325243478444144,0.9999839433648572
Thicket SCU_MYR - Thicket SPI_AFR,-1.2086376251583346,1.0544796173495137,443.1053180852496,-1.146193444873126,0.9999158351482973
Forest SID_INE - Savanna SID_INE,-2.0590509970000404,1.602581533524253,443.47928701801044,-1.2848338470941698,0.9995355659867617
Forest SID_INE - Thicket SID_INE,-0.4462308194444857,1.6232340537401002,444.605057285276,-0.2749023274963481,1
Forest SID_INE - Forest SPI_AFR,4.535544266749964,2.1554324823432514,444.758633646175,2.104238617495086,0.870220459371679
Forest SID_INE - Savanna SPI_AFR,7.765857254666629,1.7933657959167852,444.9802476602728,4.33032528687024,0.0032813374380471494
Forest SID_INE - Thicket SPI_AFR,5.162150012708292,1.5835051771310882,444.7052808020427,3.2599514591173016,0.13279122336140836
Savanna SID_INE - Thicket SID_INE,1.6128201775555546,1.042495451258571,444.2666326318722,1.547076465042077,0.9943636151874335
Savanna SID_INE - Forest SPI_AFR,6.594595263750004,1.7586055468865882,444.4574370933687,3.7499001839411843,0.029567412277141658
Savanna SID_INE - Savanna SPI_AFR,9.824908251666669,1.289973988351715,444.92645305460763,7.616361523863441,1.4458434449693414e-11
Savanna SID_INE - Thicket SPI_AFR,7.221201009708332,0.9770003190893497,443.46612796533526,7.391196163005481,1.3359402473156479e-10
Thicket SID_INE - Forest SPI_AFR,4.98177508619445,1.772231496679467,443.6109582296738,2.8110182532747716,0.37243104305514707
Thicket SID_INE - Savanna SPI_AFR,8.212088074111115,1.3086661439300944,443.6357928049178,6.2751589564693315,1.732764662865094e-7
Thicket SID_INE - Thicket SPI_AFR,5.608380832152777,1.000976258989451,444.6075154750614,5.602910939980528,7.588250631851423e-6
Forest SPI_AFR - Savanna SPI_AFR,3.2303129879166645,1.926598644663116,443.6566333087187,1.6766922352327904,0.9853893172855419
Forest SPI_AFR - Thicket SPI_AFR,0.6266057459583277,1.7326985236211518,444.14137659945243,0.361635759144522,1
Savanna SPI_AFR - Thicket SPI_AFR,-2.603707241958337,1.2523226651876502,443.16921032116966,-2.079102546282026,0.882010029351119
