species,Species,Root-sucker,Bud_protection,Bud_accessory,BarkGR,WoodGR,Evergreen,Spiny,BiteSizeIndex,SpineType,Height5,Max_Height,C,N,P_Elsenburg,N_UCT,N_Elsenburg,CN_ratio,CT,LDMC_leaf,SLA,NormanI,FreshW,Wood_density,LeafArea,Name (checked),Family,chewing_herbivory,mining_herbivory,leaf_area,total_pct_direct,total_herbivory,total_pct_counted
DOM_ROT,Dombeya_rotundifolia,0,1,0,2.415,5.336666667,0,0,1.162,No,0.5,8,43.55,1.85,0.16,1.94,1.76,22.43,4.727958857,0.330708661,11.07562182,8.736020572,1.143,0.96,4.157,Dombeya rotundifolia (Hochst.) Planch.,Sterculiaceae,1.2207571428571429,1.1665761904761904,19.634914285714284,15.20700435207143,2.3873333333333333,0.12158613470853184
DRY_ARG,Drypetes_arguta,0,1,0,0.052545788,1.672872405,1,0,0.985,No,2.666666667,10,44.35,2.255,0.14,2.36,2.15,18.78,0.287412119,0.402527076,13.60195705,13.38629394,0.554,0.63,2.9027,Drypetes arguta (Müll.Arg.) Hutch.,Euphorbiaceae,1.0728041237113402,0.5257113402061856,12.114783505154639,12.203400229082474,1.5985154639175256,0.1319475055610679
ENG_NAT,Englerophytum_natalense,0,0,0,0.077710623,2.202884615,1,0,2.25,No,2.333333333,20,45.84,1.76,0.1,1.84,1.68,24.89,1.65931311,0.443859649,11.96956634,9.730343445,0.57,0.69,2.9673,Englerophytum natalense (Sond.) T.D.Penn,Sapotaceae,0.6305442176870748,0.2594319727891157,13.171806122448979,8.335051633428572,0.8899761904761905,0.06756675449082004
ERY_EMA,Erythroxylum_emarginatum,0,0,0,0.082946581,1.71696047,1,0,0.691,No,2.666666667,9,41.85,2.09,0.1,2.18,2,19.19,1.036173613,0.367678495,13.9877711,12.02191319,0.2339,0.784,1.0978,Erythroxylum emarginatum Thonn.,Erythroxylaceae,0.2630063157894737,0.021197894736842113,5.767781052631579,6.140622601214737,0.28420421052631584,0.04927444504791773
EUC_DIV,Euclea_divinorum,0,3,1,0.1925,3.4075,1,0,1.322,No,1,8,47.2,1.09,0.1,1.14,1.04,41.52,3.182510312,0.469072165,6.341392799,4.948744844,0.388,0.775,1.0721,Euclea divinorum Hiern,Ebenaceae,0.1617780580075662,0.083078184110971,7.412822194199244,3.9697897222156366,0.24485624211853718,0.033031446823335996
EUC_NAT,Euclea_natalensis,0,1,0,0.172671958,3.841772487,1,0,2.616,No,1.333333333,12,49.07,1.415,0.1,1.27,1.56,38.49,3.067412241,0.493656286,6.503502075,6.95629388,0.867,0.814,2.3896,Euclea natalensis A.DC. ssp. natalensis Hiern,Ebenaceae,1.087646017699115,0.03766371681415929,24.11479646017699,3.976174002619469,1.1253097345132743,0.0466646996739783
EUC_RAC,Euclea_racemosa,0,1,0,0.148404139,2.58961329,1,0,1.524,No,1.666666667,12,46.66,1.28,0.13,1.32,1.24,35.43,3.383597835,0.431972789,6.412802841,5.988201083,0.294,0.633,0.7837,Euclea racemosa Murray,Ebenaceae,0.11332046864231564,0.053818745692625784,5.228911095796002,3.7680704333549278,0.16713921433494142,0.031964439875315505
GRE_FLA,Grewia_flavescens,0,0,1,0.075608466,1.480862434,0,0,0.78,No,2.333333333,5,43,2.555,0.19,2.66,2.45,16.19,1.001273986,0.382113821,20.59875,14.82936301,0.123,0.927,0.9644,Grewia flavescens Juss.,Tiliaceae,0.4671397260273973,0.15095890410958904,7.494402739726027,6.98502914349863,0.6180986301369863,0.0824747016677652
GYM_BUX,Gymnosporia_buxifolia,0,3,0,0.987463092,2.877649573,1,1,1.025,Thorn,0.5,9,40.61,1.475,0.1,1.56,1.39,26.06,3.653144138,0.277361319,8.084241236,7.023427931,0.667,0.66,1.4977,Gymnosporia buxifolia (L.) Szyszyl.,Celastraceae,0.19438781725888324,0.07142335025380711,5.170019289340101,4.68429383568934,0.26581116751269035,0.051413960497354035
GYM_HAR,Gymnosporia_harveyana,0,2,1,0.198205128,3.163269231,1,1,0.396,Thorn,1,8,38.06,2.445,0.17,2.51,2.38,15.15,1.366512231,0.270114943,13.68183333,13.98674388,0.174,0.495,0.6184,Gymnosporia harveyana Loes.,Celastraceae,0.25367596281540505,0.04880146082337318,3.882461487383798,6.61756954265073,0.3024774236387782,0.07790867330472943
GYM_MAR,Gymnosporia_maranguensis,1,3,1,0.439166667,3.145,1,1,1.233,Thorn,0.833333333,9,42.88,1.44,0.15,1.48,1.4,28.95,3.566951502,0.289230769,8.133336774,6.856524249,0.65,0.6,1.4922,Gymnosporia senegalensis (Lam.) Loes.,Celastraceae,0.497161877394636,0.2077586206896552,8.698330459770116,7.0297121999147505,0.7049204980842912,0.08104089645071053
HIP_PAU,Hippobromus_pauciflorus,1,2,0,0.145714286,2.153132275,0,0,1.423,No,2.333333333,5,46.06,1.95,0.2,2.06,1.84,22.39,5.006341768,0.34204793,14.66934313,9.196829116,0.918,1,4.5768,Hippobromus pauciflorus (L.f.) Radlk.,Sapindaceae,0.08094,0.04852857142857143,4.540048571428572,2.7258593678,0.12946857142857143,0.02851700139142627
KRA_FLO,Kraussia_floribunda,0,3,0,0.278111111,3.174,1,0,1.998,No,3,6,46.2,1.54,0.14,1.58,1.5,29.16,14.20687212,0.351432881,10.6774091,2.13656394,0.663,0.8,2.3985,Kraussia floribunda Harv.,Rubiaceae,0.49834359805510536,0.21683306320907617,11.402183144246353,6.631136351356564,0.7151766612641816,0.06272278319131072
OLE_EUR,Olea_europaea,0,1,1,0.307738095,3.575039683,1,0,1.083,No,2,18,47.45,1.71,0.15,1.79,1.63,26.53,0.039246911,0.444444444,11.85616667,10.24037654,0.153,0.913,0.7459,Olea europaea L. ssp africana Mill.,Oleaceae,0.012764705882352942,5.637254901960839e-4,1.5037892156862744,1.0406059378921568,0.013328431372549026,0.008863231118775126
ORM_TRI,Ormocarpum_trichocarpum,1,3,1,0.747089947,1.488306878,0,0,0.403,No,1.666666667,5,42.24,2.805,0.19,2.93,2.68,14.42,0.081864801,0.306122449,12.3225,16.7890676,0.098,0.827,0.3567,Ormocarpum trichocarpum (Taub.) Engl.,Fabaceae,0.009356070941336971,0.0029877216916780404,0.6537025920873124,1.3351054419386084,0.012343792633015011,0.018882887696070664
PLE_ARM,Plectroniella_armata,0,1,1,0.150740741,2.577222222,0,1,0.158,Thorn,1.666666667,8,43.26,1.465,0.13,1.53,1.4,28.34,0.339458016,0.37012987,14.20440476,8.620270992,0.154,0.9,0.8193,Plectroniella armata (K.Schum.) Robyns,Rubiaceae,0.2170257731958763,0.10770618556701031,6.448360824742268,4.654520642847938,0.32473195876288663,0.05035883809679116
RAW_LUC,Rawsonia_lucida,0,1,0,0.091892774,2.311391608,1,0,1.515,No,3,11,42.11,2.03,0.09,2.11,1.95,20,3.57327178,0.384263495,9.811771848,10.39336411,1.093,0.745,3.9288,Rawsonia lucida Harv. & Sond.,Flacourtiaceae,0.7680534351145039,0.07133969465648857,14.978301526717557,7.700908088133588,0.8393931297709925,0.05604060836094962
RHU_PEN,Rhus_pentheri,0,2,1,0.499194139,1.986043956,0,0,0.793,No,1,5,45.04,2.035,0.15,2.13,1.94,21.11,0.113348631,0.303191489,13.64392308,12.15332568,0.188,0.8,0.7276,Rhus pentheri Zahlbr.,Anacardiaceae,0.2055145067698259,0.13458027079303675,3.0229390715667313,12.16825485006383,0.34009477756286266,0.1125046749243934
SCH_BRA,Schotia_brachypetala,0,2,1,0.5025,3.144666667,1,0,2.176,No,1.333333333,16,48.13,1.95,0.2,2.04,1.86,23.54,1.824014539,0.398958826,9.097348668,10.78799273,2.113,0.8,7.4108,Schotia brachypetala Sond.,Fabaceae,0.41805944798301486,0.0917154989384289,7.498186836518046,6.784715674057325,0.5097749469214438,0.06798642899090113
SCL_BIR,Sclerocarya_birrea,0,3,0,1.076,4.33,0,0,3.373,No,2,17,43,1.465,0.12,1.54,1.39,27.97,0.711627495,0.28501827,9.674050687,8.434186253,4.105,0.508,11.0732,Sclerocarya birrea (A.Rich.) Hochst.,Anacardiaceae,0.21425430210325047,0.14415678776290633,6.925108986615679,4.609525956219885,0.3584110898661568,0.05175529952797368
SCO_ZEY,Scolopia_zeyheri,0,1,0,0.068002646,2.072566138,1,1,0.361,Spine,2,23,42.29,1.44,0.09,1.52,1.36,27.88,0.813653625,0.289473684,16.8635242,8.233173188,0.646,0.715,3.0055,Scolopia zeyheri (Nees) Harv.,Flacourtiaceae,0.4531168831168831,0.11067532467532468,6.415701298701299,8.235801350766234,0.5637922077922077,0.08787694151321129
SCU_MYR,Scutia_myrtina,0,1,0,0.211172161,2.874920635,1,1,0.343,Hook,1.5,8,43.18,2.155,0.12,2.23,2.08,19.32,3.208161766,0.417670683,10.96880422,11.32591912,0.249,0.65,1.0808,Scutia myrtina (Brum.f.) Kurz,Rhamnaceae,0.1993358633776091,0.05953795066413664,4.245827324478179,6.01481402185389,0.25887381404174575,0.06097134769218668
SID_INE,Sideroxylon_inerme,0,2,0,0.141360698,2.272657832,1,0,2.751,No,2.333333333,10,45.76,2.08,0.12,2.17,1.99,21.13,0.303349312,0.34765625,8.661987099,12.32832534,0.768,0.857,2.1073,Sideroxylon inerme L.,Sapotaceae,0.7132295081967213,0.4881475409836066,12.776715846994536,9.032790541060109,1.2013770491803277,0.09402862704056515
SPI_AFR,Spirostachys_africana,1,2,0,0.289728836,3.131117725,0,0,0.58,No,2,15,42.34,1.625,0.26,1.69,1.56,25.06,0.337091827,0.484536082,12.59883333,9.581454087,0.097,0.87,0.5884,Spirostachys africana Sond.,Euphorbiaceae,0.014806026365348399,0.012702448210922788,5.15057438794727,0.7435071858625235,0.02750847457627119,0.00534085569963674
TAR_CAM,Tarchonanthus_camphoratus,0,3,1,0.29780057,3.262957265,1,0,0.864,No,0.833333333,9,45.34,2.2,0.2,2.26,2.14,20.09,1.59382764,0.33125,16.15370635,12.40308618,0.16,0.964,0.8621,Tarchonanthus camphoratus L.,Asteraceae,0.1329,0.01947142857142857,3.2878755102040818,5.4204014948795916,0.15237142857142855,0.04634343000473601
TAR_PAV,Tarenna_pavetoides,0,0,0,0.123174603,2.890912698,1,0,2.557,No,3,10,43.84,2.46,0.17,2.59,2.33,16.93,1.384743681,0.222286374,16.74118304,14.06762816,1.732,0.508,5.9958,Tarenna pavetoides (Harv.) Sim,Rubiaceae,0.18894117647058822,0.054588235294117646,13.194941176470588,2.2628341939411767,0.24352941176470588,0.01845627111994793
ZAN_CAP,Zanthoxylum_capense,1,2,0,0.110233285,2.21492785,0,1,0.471,Spine,1.333333333,10,41.64,2.045,0.15,2.17,1.92,19.23,0.054886814,0.304428044,13.17430738,12.24255659,0.542,0.9,2.1572,Zanthoxylum capense (Thunb.) Harv.,Rutaceae,0.006747474747474748,0.0024646464646464646,1.612979797979798,0.756694217989899,0.009212121212121213,0.0057112440116479325
ZIZ_MUC,Ziziphus_mucronata,0,0,0,0.601428571,5.845666667,0,1,0.422,Hook,1.666666667,9,42.85,2.505,0.2,2.61,2.4,16.41,0.405452734,0.274074074,17.78530952,14.82727363,0.27,0.758,1.28,Ziziphus mucronata Willd.,Rhamnaceae,0.486820882852292,0.27465619694397286,5.452141765704584,12.435715143657045,0.7614770797962649,0.139665678648739
