(Intercept),Avg_Rain,Herb_type,"poly(elevation, 2)",X20yr_fire,Avg_Rain:Herb_type,"Avg_Rain:poly(elevation, 2)",Avg_Rain:X20yr_fire,"Herb_type:poly(elevation, 2)",Herb_type:X20yr_fire,"poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2)",Avg_Rain:Herb_type:X20yr_fire,"Avg_Rain:poly(elevation, 2):X20yr_fire","Herb_type:poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2):X20yr_fire",df,logLik,AICc,delta,weight
107.86533382288997,-0.14876724049798792,+,+,-9.77613926951101,+,+,0.014045347679189635,NA,+,NA,NA,NA,NA,NA,NA,12,-98.40823042365362,229.73074656159295,6.657030902920411,0.0037556868753202
3.1102708333333338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-112.82319378497431,229.9130542366153,6.839338577942755,0.0034284811641786
20.713515914264867,-0.02815473747486272,+,NA,-1.6090837201996053,NA,NA,0.0027461379732447735,NA,+,NA,NA,NA,NA,NA,NA,7,-106.5905378863349,229.9810757726698,6.907360113997271,0.00331383651380743
1.347554687500076,0.003380312499999901,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-109.30919708595128,230.04696560047398,6.973249941801441,0.00320644123275364
-12.454038837987197,0.021580216050093012,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,9,-103.75055351213945,230.23794912954205,7.164233470869505,0.00291441731349899
25.90985515282093,-0.03356129997486235,+,NA,-1.7265511497770436,+,NA,0.0027461379732447375,NA,NA,NA,NA,NA,NA,NA,NA,7,-106.80159464059253,230.40318928118506,7.329473622512523,0.00268330657737112
101.80055432213436,-0.13971275865230073,NA,+,-9.94780606224934,NA,+,0.014045347679189715,NA,NA,NA,NA,NA,NA,NA,NA,9,-103.90146885238323,230.53977981002961,7.466064151357074,0.00250616718246641
-9.984016768938705,0.017946056937990066,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-103.97298512787702,230.6828123610172,7.609096702344658,0.00233319434370755
-12.145360155391,0.016695187547277807,+,+,0.3498222002967853,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,10,-102.37967548174981,230.70529690944556,7.631581250773024,0.00230711082684642
-3.5531093750000027,0.008786875000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-112.17547656813036,230.89640768171526,7.82269202304272,0.00209685925274512
-0.029515394627581522,NA,+,+,0.4242035068211035,NA,NA,NA,NA,+,+,NA,NA,NA,NA,NA,9,-104.1866880953408,231.11021829594475,8.036502637272207,0.00188426028883451
81.18824754028891,-0.11124045007759668,+,+,-7.955642203778848,NA,NA,0.011426521885038904,NA,+,+,NA,NA,NA,NA,NA,11,-100.90320174512355,231.13973682358045,8.066021164907909,0.00185665421790291
-14.08399333143878,0.023352619437990167,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,10,-102.62654678872065,231.19903952338723,8.125323864714687,0.00180241009402634
-6.949020916834601,0.011288625047277722,+,+,0.23235477071932054,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-102.63099860267049,231.2079431512869,8.134227492614372,0.00179440393381687
106.29314244672591,-0.1417413629606841,+,+,-10.972173767378354,NA,+,0.015052480820703198,NA,NA,+,NA,NA,NA,NA,NA,12,-99.1943980020489,231.3030817183835,8.22936605971097,0.00171104383302333
27.073970591076915,-0.03720921932055009,+,NA,-1.5548843570387325,+,NA,0.002746137973244687,NA,+,NA,NA,NA,NA,NA,NA,8,-105.81010303710268,231.31251376651306,8.238798107840523,0.00170299350681748
21.00919109031901,-0.028154737474859734,NA,NA,-1.7265511497768762,NA,NA,0.002746137973244509,NA,NA,NA,NA,NA,NA,NA,NA,5,-109.96360581397765,231.35578305652672,8.282067397854178,0.00166654553791818
80.0124282732771,-0.11008816084510933,+,+,-7.60641362985293,+,NA,0.01100003451409003,+,+,NA,NA,NA,NA,NA,NA,12,-99.26189141638946,231.43806854706463,8.36435288839209,0.00159937063479164
-10.093817333416752,0.014247083450273732,+,+,0.34610683103497464,NA,NA,NA,NA,+,+,NA,NA,NA,NA,NA,10,-102.83018923571515,231.60632441737624,8.532608758703702,0.00147032323364295
3.910958333333334,NA,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,7,-107.4353283635962,231.6706567271924,8.596941068519868,0.00142378114168787
86.38458677884508,-0.11664701257759645,+,+,-8.073109633356298,+,NA,0.011426521885038884,NA,NA,+,NA,NA,NA,NA,NA,11,-101.17038324622744,231.67409982578823,8.600384167115692,0.00142133214090565
-11.048997479334666,0.016695187547277803,+,+,0.23235477071932104,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,11,-101.20478231543011,231.74289796419356,8.66918230552102,0.00137327100649369
-14.88468083143882,0.02335261943799021,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-107.5027376774758,231.80547535495162,8.731759696279084,0.00133096839611344
3.1102708333333338,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-111.49662377215756,231.92348010245465,8.849764443782107,0.00125470993817716
