contrast,odds.ratio,SE,df,t.ratio,p.value
Forest GYM_HAR / Thicket KRA_FLO,1.7051574752151129,0.4149494227428363,364,2.1929661054997887,0.8227214283117199
Forest EUC_RAC / Savanna KRA_FLO,0.5168589336633578,0.15585085290863362,364,-2.1887547653670647,0.8251373245806244
Thicket ACA_ROB / Thicket SID_INE,0.47309502830325395,0.16211841061299195,364,-2.184158066277812,0.8277539827231415
Thicket SCU_MYR / Thicket SPI_AFR,1.9955442323444714,0.6314408216630801,364,2.1835063723023582,0.8281232364772184
Savanna EUC_RAC / Thicket EUC_RAC,1.5176463576310313,0.290154677647508,364,2.1819479201673455,0.8290045263422037
Thicket ACA_ROB / Savanna EUC_RAC,0.514590035467642,0.15956186083271012,364,-2.14265343023681,0.8504014641984473
Forest SCU_MYR / Savanna SID_INE,0.559979339062132,0.15367804702764337,364,-2.1129045077340174,0.8655219737178066
Savanna ACA_ROB / Forest SPI_AFR,0.4261672439790001,0.1724894579706023,364,-2.1073057261594066,0.8682617458519304
Thicket EUC_RAC / Thicket SID_INE,0.6057820881804546,0.1448357520991516,364,-2.09643785524864,0.8734833953431898
Savanna KRA_FLO / Thicket SCU_MYR,1.8531747126848401,0.5459823359023955,364,2.0938844169885718,0.8746916937989737
Forest ACA_ROB / Forest SPI_AFR,0.28443147721756457,0.17298738696207602,364,-2.0672324866796004,0.8868807930529683
Forest ACA_ROB / Forest SCU_MYR,0.3369090629106031,0.18009484554509642,364,-2.035247568802711,0.9004881961890302
Thicket KRA_FLO / Thicket SID_INE,0.5774735524042196,0.15769782936370286,364,-2.010721868711235,0.9101702322069213
Forest EUC_RAC / Thicket SPI_AFR,1.9113919442662084,0.6172238468817246,364,2.0061771455839876,0.9118931465107913
Savanna EUC_RAC / Thicket KRA_FLO,1.5920434378640633,0.3692104606218773,364,2.005169210551257,0.9122722546798585
Thicket ACA_ROB / Thicket GYM_HAR,0.5433828151131398,0.1692533265450122,364,-1.9581982641453444,0.928744117545519
Savanna KRA_FLO / Forest SCU_MYR,1.6159507780638798,0.4018999029526742,364,1.9296664377684674,0.9376318501938383
Forest EUC_RAC / Forest GYM_HAR,0.5762290434829914,0.16899199969514106,364,-1.8796528296122639,0.951268115654017
Forest ACA_ROB / Thicket EUC_RAC,0.3778225255847779,0.1960608275055579,364,-1.875674345475953,0.9522507672003033
Thicket EUC_RAC / Thicket GYM_HAR,0.695783207870899,0.1355924457273292,364,-1.8612578370533024,0.955690238362201
Savanna ACA_ROB / Thicket KRA_FLO,0.5938470247833287,0.16677376155816637,364,-1.8556491832204551,0.9569777321897028
Savanna SID_INE / Savanna SPI_AFR,2.1787039408782554,0.9146808931997813,364,1.8548791377924063,0.9571523156118151
Thicket ACA_ROB / Savanna GYM_HAR,0.5474314810210172,0.18331329124764809,364,-1.7993092839731533,0.9684169846363468
Forest EUC_RAC / Thicket SID_INE,0.5674031418046385,0.18195042020115537,364,-1.767179067582609,0.9738079340826539
Savanna SCU_MYR / Savanna SID_INE,1.5439311472622494,0.38013073506088646,364,1.7640733048237942,0.9742886876519311
Forest GYM_HAR / Thicket SCU_MYR,1.6622381615834991,0.48164553317839426,364,1.7537611608195507,0.9758360442922862
Thicket GYM_HAR / Thicket KRA_FLO,1.5076842078377395,0.3568887678001786,364,1.7344821491677413,0.9785335764097686
Forest ACA_ROB / Thicket KRA_FLO,0.39634389758191046,0.21232025824699655,364,-1.7276052009260785,0.9794364424014652
Savanna ACA_ROB / Thicket SCU_MYR,0.5788997210437365,0.18518561607072656,364,-1.7087809047242726,0.9817555774043261
Forest ACA_ROB / Thicket SCU_MYR,0.3863678054651702,0.2156750087780494,364,-1.703593082578678,0.9823568050226521
Savanna KRA_FLO / Savanna SPI_AFR,1.9715071234063155,0.7952701827249473,364,1.6827685587513486,0.9846135469405372
Forest EUC_RAC / Savanna EUC_RAC,0.6171698821542916,0.17704856269969899,364,-1.6823234431187553,0.9846591297765803
Thicket SCU_MYR / Thicket SID_INE,0.59238403219129665,0.18607186771411993,364,-1.6669492962387276,0.9861683251148476
Forest ACA_ROB / Forest EUC_RAC,0.40337830661706947,0.22503385856362867,364,-1.6273963096599016,0.9895076035521814
Savanna EUC_RAC / Thicket SCU_MYR,1.5519712377194872,0.4325539788269198,364,1.5769859292685136,0.9927791064136589
Thicket EUC_RAC / Savanna GYM_HAR,0.7009673868228851,0.1590824736717897,364,-1.5655366847098526,0.9933898144298341
Savanna ACA_ROB / Forest EUC_RAC,0.6043867679258981,0.19734001111591915,364,-1.5421782970967057,0.9945031668728719
Forest GYM_HAR / Forest SCU_MYR,1.4494559159221265,0.34973005624985876,364,1.5383894046586795,0.994668030638671
Savanna GYM_HAR / Thicket KRA_FLO,1.496533753646225,0.3923936020417818,364,1.537563249654502,0.9947034228475162
Savanna SPI_AFR / Thicket SPI_AFR,1.8757690832155831,0.7874751131202257,364,1.4983253566393862,0.996171986010731
Thicket ACA_ROB / Forest KRA_FLO,0.5710328447593968,0.2170547045329281,364,-1.4740734860293387,0.9968944477187704
Forest EUC_RAC / Thicket GYM_HAR,0.6517022966899861,0.18997347014944266,364,-1.4688245244899254,0.9970344932101898
Forest ACA_ROB / Savanna SPI_AFR,0.411038892078273,0.25500484791431804,364,-1.4330758765368674,0.9978525816776821
Forest GYM_HAR / Savanna SPI_AFR,1.7683785311379911,0.7047337123624,364,1.4304512871785802,0.997904122565809
Forest SCU_MYR / Thicket SID_INE,0.6793468734056928,0.1846614548619836,364,-1.4223402147570017,0.9980567383504795
Thicket SID_INE / Savanna SPI_AFR,1.7958854902928065,0.7500614756274956,364,1.401868744743173,0.9984000546513214
Savanna SCU_MYR / Forest SID_INE,0.6209137299074445,0.2134057716772328,364,-1.386581941912464,0.9986209494157539
Thicket GYM_HAR / Savanna SID_INE,0.717666885228744,0.1725930066035137,364,-1.3794638945094393,0.9987144321429582
Thicket GYM_HAR / Thicket SCU_MYR,1.469735354248451,0.4130023603680111,364,1.370377517146512,0.9988257306261139
Thicket ACA_ROB / Thicket SPI_AFR,1.5936993635516048,0.5476725882601702,364,1.3562049410841612,0.9989826007351423
Forest EUC_RAC / Savanna GYM_HAR,0.656558035217795,0.20481305306158884,364,-1.348756699868925,0.9990574603602407
Savanna EUC_RAC / Forest SCU_MYR,1.3533042038395626,0.3119061526120513,364,1.312705912615944,0.9993558069119653
Forest ACA_ROB / Thicket ACA_ROB,0.4837888897949888,0.2682484746266996,364,-1.30954082181376,0.9993775124900562
Savanna GYM_HAR / Savanna SID_INE,0.7123592009756957,0.1885128905222081,364,-1.2816789659017953,0.9995424824740644
Savanna EUC_RAC / Savanna SPI_AFR,1.6510706354571525,0.6466032025397193,364,1.280362287592762,0.9995492175104324
Savanna GYM_HAR / Thicket SCU_MYR,1.458865560258435,0.445055341132269,364,1.2379446621799346,0.9997243126797832
Forest KRA_FLO / Savanna SID_INE,0.6829166763137513,0.2196128689082752,364,-1.1859615437499897,0.9998548161588878
Thicket ACA_ROB / Forest SPI_AFR,0.5879247812782467,0.264402227799957,364,-1.1810790397406852,0.9998636161363796
Savanna EUC_RAC / Savanna SID_INE,0.7578223936160831,0.17821629665410316,364,-1.1791787560104046,0.999866909701919
Savanna ACA_ROB / Savanna SPI_AFR,0.6158647190486196,0.2596805045017183,364,-1.1495928207584964,0.9999097715226133
Thicket GYM_HAR / Savanna SPI_AFR,1.563583671085687,0.6159147041817397,364,1.1347208766561987,0.9999262198716978
Forest KRA_FLO / Thicket KRA_FLO,1.4346805033634868,0.4578007911872445,364,1.1311398244955921,0.9999297523840283
Thicket GYM_HAR / Savanna KRA_FLO,0.7930905511435183,0.16685905360966496,364,-1.1018435194187772,0.9999533980731286
Thicket EUC_RAC / Forest KRA_FLO,0.7311881301281338,0.21243695173699853,364,-1.0776075569199008,0.9999672260215495
Savanna GYM_HAR / Savanna SPI_AFR,1.5520197984866333,0.6380907636544966,364,1.0691291621167793,0.9999711033074652
Thicket ACA_ROB / Forest SCU_MYR,0.6963968582523096,0.23746751246926473,364,-1.0611184672978808,0.9999743788669946
Forest EUC_RAC / Forest KRA_FLO,0.6848641621793463,0.2457543162722466,364,-1.054894570232411,0.9999766866127208
Thicket GYM_HAR / Forest SCU_MYR,1.2815952931954797,0.3021742054974041,364,1.0522771139230456,0.9999775993315936
Savanna SID_INE / Forest SPI_AFR,1.5076237121759402,0.6043220929569539,364,1.0241754715848665,0.9999855438497731
Savanna GYM_HAR / Savanna KRA_FLO,0.7872250523777445,0.1871509779681353,364,-1.0063350813018055,0.9999891508171632
Forest KRA_FLO / Savanna KRA_FLO,0.754688246525604,0.22477852978957624,364,-0.9449630701925034,0.9999961814989304
Forest KRA_FLO / Thicket SCU_MYR,1.398569174421712,0.49688864170337776,364,0.9441745386144053,0.9999962346551998
Savanna GYM_HAR / Forest SCU_MYR,1.272116935901195,0.33237273754929564,364,0.9211830927290283,0.9999975156397358
Savanna ACA_ROB / Thicket ACA_ROB,0.7248669516063625,0.26228672077268733,364,-0.8892496608497329,0.9999986380762924
Forest KRA_FLO / Savanna SPI_AFR,1.4878732539762498,0.667388853535445,364,0.8858450250968448,0.9999987247673081
Savanna EUC_RAC / Savanna KRA_FLO,0.8374662286811717,0.17128311624627607,364,-0.8672484649345847,0.9999991148879321
Forest GYM_HAR / Savanna SID_INE,0.8116653657977696,0.1999741219681114,364,-0.8469490185506706,0.9999994128250576
Thicket KRA_FLO / Forest SPI_AFR,0.7176380889244863,0.28628045485656073,364,-0.8317195937564501,0.9999995720354744
Savanna KRA_FLO / Forest SPI_AFR,1.3642472628809683,0.5235182162300489,364,0.809406501883314,0.9999997343722594
Forest EUC_RAC / Forest SPI_AFR,0.7051233855458118,0.3043802537335691,364,-0.809374956737665,0.9999997345544183
Thicket ACA_ROB / Thicket EUC_RAC,0.7809656930006901,0.24451861869008756,364,-0.789606567106614,0.9999998284640416
Thicket EUC_RAC / Forest SPI_AFR,0.752817680145813,0.2835679709696734,364,-0.7537846508577095,0.9999999249690945
Forest ACA_ROB / Savanna ACA_ROB,0.6674175015468347,0.3667453743701264,364,-0.735832735028115,0.9999999513256046
Forest SPI_AFR / Savanna SPI_AFR,1.445124485163311,0.739431513711742,364,0.7195910296870004,0.9999999674606912
Thicket SCU_MYR / Forest SPI_AFR,0.7361676443903532,0.3155544518918786,364,-0.714571575005217,0.99999997133226
Savanna SID_INE / Thicket SID_INE,1.213164175920277,0.3341482850863257,364,0.7015511120468583,0.9999999794648511
Forest KRA_FLO / Forest SCU_MYR,1.219539059168715,0.3873039678726194,364,0.6249497953108334,0.9999999975433846
Forest GYM_HAR / Thicket GYM_HAR,1.130977870797348,0.2243235308585449,364,0.6205489512675674,0.9999999978452153
Thicket ACA_ROB / Thicket SCU_MYR,0.7986289342628312,0.2975745073681966,364,-0.6034750366859029,0.9999999987175319
Thicket KRA_FLO / Forest SCU_MYR,0.8500422611930734,0.23083207276246773,364,-0.5982950914079931,0.9999999989079771
Forest GYM_HAR / Forest KRA_FLO,1.18852766955257,0.3475232664922811,364,0.590685341873735,0.9999999991401856
Forest KRA_FLO / Thicket SID_INE,0.8284900468423867,0.26450616788816694,364,-0.5893275800089237,0.9999999991763922
Thicket GYM_HAR / Thicket SID_INE,0.8706477554038012,0.20640806910697881,364,-0.5842805001404239,0.9999999992988089
Thicket ACA_ROB / Thicket KRA_FLO,0.8192496891564952,0.27995609682264655,364,-0.5834158969303515,0.9999999993179817
Forest GYM_HAR / Savanna GYM_HAR,1.1394046215533644,0.2617573202109426,364,0.5680795657301078,0.9999999995862254
Forest EUC_RAC / Forest SCU_MYR,0.8352185960025702,0.2660999529211517,364,-0.565167184147945,0.9999999996243254
