species,site,leaf_age,side,habitat,individual,mean_leaf_area,mean_total_herbivory,total_herbivory_standardized
SPI_AFR,T22,old,low,Thicket,3,8.2182,0.0016,0.019468983475700277
SPI_AFR,T22,old,up,Thicket,1,8.753944444444445,8.888888888888889e-4,0.010154152731149769
SPI_AFR,T22,old,up,Thicket,2,8.03605,0.01525,0.18976984961517165
SPI_AFR,T22,old,up,Thicket,3,9.986375,0.058875,0.5895532663253682
SPI_AFR,T22,young,up,Thicket,3,4.14475,0.0075,0.18095180650220158
SPI_AFR,T9,old,low,Thicket,3,5.845,0.002,0.03421727972626176
SPI_AFR,T9,old,up,Thicket,1,5.362222222222222,0.0021111111111111113,0.03937007874015749
SPI_AFR,T9,old,up,Thicket,2,5.025,0.0066956521739130435,0.13324680943110534
SPI_AFR,T9,old,up,Thicket,3,5.324481481481482,0.009851851851851851,0.1850293194955516
SPI_AFR,T9,young,up,Thicket,1,5.777941176470589,0.0033529411764705885,0.05803003308729957
SPI_AFR,T9,young,up,Thicket,2,4.127076923076923,0.027384615384615386,0.6635353761276375
TAR_CAM,S46,old,low,Savanna,1,1.248,0.002,0.16025641025641024
TAR_CAM,S46,old,low,Savanna,2,1.5936249999999998,0.022125,1.3883441838575574
TAR_CAM,S46,old,low,Savanna,3,0.326,0.07428571428571429,22.78702892199825
TAR_CAM,S46,old,up,Savanna,1,1.5291851851851852,0.05125925925925926,3.352063553574889
TAR_CAM,S46,old,up,Savanna,2,1.5709230769230769,0.01946153846153846,1.2388600528841445
TAR_CAM,S46,old,up,Savanna,3,0.22339473684210526,0.032578947368421055,14.583578748969256
TAR_CAM,S46,young,up,Savanna,1,1.1967692307692308,0.09292307692307693,7.764494150919141
TAR_CAM,S46,young,up,Savanna,2,1.2062666666666666,0.03473333333333333,2.879407538410523
TAR_CAM,S46,young,up,Savanna,3,0.2958181818181818,0.005454545454545455,1.8438844499078058
TAR_CAM,S5,old,low,Savanna,1,4.622833333333333,0.57025,12.335508526516927
