species,site,leaf_age,side,habitat,individual,herbivory_percentage_mean,mean_leaf_area,mean_total_herbivory,total_herbivory_standardized
GYM_HAR,F2,old,low,Forest,1,3.173609773,8.654,0.239166667,2.763654572
GYM_HAR,F2,old,up,Forest,1,1.424747604,9.079909091,0.109181818,1.202454971
GYM_HAR,F2,young,up,Forest,1,0.071801138,2.3372,0.0019,0.081293856
GYM_HAR,F3,old,low,Forest,1,3.093765604,7.7206,0.2836,3.673289641
GYM_HAR,F3,old,low,Forest,2,1.119341773,6.3582,0.0652,1.025447454
GYM_HAR,F3,old,up,Forest,1,3.515223004,7.740083333,0.263166667,3.400049526
GYM_HAR,F3,old,up,Forest,2,8.904577735,8.306565217,0.722608696,8.699247845
GYM_HAR,F3,young,up,Forest,1,19.9385057,4.097411765,0.817176471,19.94372344
GYM_HAR,F4,old,low,Forest,1,1.849947449,4.276272727,0.104,2.43202449
GYM_HAR,F4,old,low,Forest,2,9.745619335,8.7274,0.7268,8.32779522
GYM_HAR,F4,old,up,Forest,1,2.123500924,4.902181818,0.083545455,1.704250427
GYM_HAR,F4,old,up,Forest,2,8.56253842,14.672875,1.251625,8.530196025
GYM_HAR,F4,young,up,Forest,1,4.87939726,1.0835,0.04825,4.453161052
GYM_HAR,F5,old,low,Forest,1,10.39018409,10.7707,1.0222,9.490562359
GYM_HAR,F5,old,low,Forest,2,10.92005599,8.084846154,0.943384615,11.6685537
GYM_HAR,F5,old,low,Forest,3,10.45572239,9.4943,1.5208,16.01803187
GYM_HAR,F5,old,up,Forest,1,15.75898225,13.6067,2.3439,17.22607245
GYM_HAR,F5,old,up,Forest,2,15.91647978,9.494,1.132454545,11.9281077
GYM_HAR,F5,old,up,Forest,3,10.27375036,9.471454545,1.386,14.63344403
GYM_HAR,F6,old,low,Forest,1,5.28025451,12.08,0.6068,5.023178808
GYM_HAR,F6,old,low,Forest,2,5.724680674,11.887,0.657666667,5.532654721
GYM_HAR,F6,old,up,Forest,1,11.48751194,7.497866667,0.898533333,11.98385318
GYM_HAR,F6,old,up,Forest,2,5.841293463,11.4076,0.5813,5.095725657
GYM_HAR,F6,young,up,Forest,1,5.434114603,3.0584,0.1628,5.323044729
GYM_HAR,F6,young,up,Forest,2,34.18469811,7.221285714,3.659285714,50.67360383
GYM_HAR,F7,old,low,Forest,1,15.52836595,4.187230769,0.515230769,12.30480949
GYM_HAR,F7,old,low,Forest,2,16.32656141,3.818769231,0.648153846,16.97284667
GYM_HAR,F7,old,low,Forest,3,3.389310519,2.663583333,0.080583333,3.025373088
GYM_HAR,F7,old,up,Forest,1,14.79632963,2.79932,0.4154,14.83931812
GYM_HAR,F7,old,up,Forest,2,10.73502715,3.36875,0.3419375,10.15027829
GYM_HAR,F7,old,up,Forest,3,1.141835837,2.406956522,0.024869565,1.033236994
GYM_HAR,F7,young,up,Forest,1,4.470586053,0.870833333,0.070666667,8.114832536
GYM_HAR,F7,young,up,Forest,2,4.256329545,0.830666667,0.046666667,5.617977528
GYM_HAR,F7,young,up,Forest,3,1.009223863,1.028,0.005714286,0.555864369
GYM_HAR,S20,old,low,Savanna,1,0.268527717,1.739,0.006428571,0.369670582
GYM_HAR,S20,old,up,Savanna,1,5.055177345,3.9396875,0.209,5.304989292
GYM_HAR,S20,young,up,Savanna,1,6.068067524,1.837230769,0.153923077,8.377993636
GYM_HAR,S30,old,up,Savanna,1,5.018482089,3.154588235,0.135235294,4.286939658
GYM_HAR,S30,old,up,Savanna,2,3.004036503,1.344742857,0.048114286,3.577954362
GYM_HAR,S30,old,up,Savanna,3,33.73017908,3.567642857,1.352928571,37.92219753
GYM_HAR,S30,young,up,Savanna,3,0.247533953,1.723133333,0.004533333,0.263086625
GYM_HAR,S52,old,low,Savanna,1,0,2.834333333,0,0
GYM_HAR,S52,old,low,Savanna,2,0.699754026,1.671727273,0.015363636,0.91902768
GYM_HAR,S52,old,up,Savanna,1,2.155801509,2.634375,0.088625,3.364175563
GYM_HAR,S52,old,up,Savanna,2,3.412928796,2.4385,0.0772,3.165880664
GYM_HAR,S52,young,up,Savanna,1,3.197553925,4.0012,0.1067,2.66669999
GYM_HAR,S52,young,up,Savanna,2,32.79182142,1.857,0.592,31.87937534
GYM_HAR,S53,old,low,Savanna,1,0.082888808,1.3645,0.001,0.073286918
GYM_HAR,S53,old,low,Savanna,3,5.105180671,2.52875,0.106125,4.196737519
GYM_HAR,S53,old,up,Savanna,1,1.853834187,2.454235294,0.050882353,2.073246728
GYM_HAR,S53,old,up,Savanna,2,1.090062162,2.518837838,0.028513514,1.132010687
GYM_HAR,S53,old,up,Savanna,3,3.221927622,2.96992,0.0826,2.781219696
GYM_HAR,S53,young,up,Savanna,1,0.290007169,2.045454545,0.003727273,0.182222222
GYM_HAR,S53,young,up,Savanna,3,1.766469597,2.8922,0.0476,1.645805961
GYM_HAR,S58,old,low,Savanna,1,1.59004784,1.6,0.022333333,1.395833333
GYM_HAR,S58,old,low,Savanna,2,12.48375757,2.334833333,0.314666667,13.47705047
GYM_HAR,S58,old,up,Savanna,1,2.01443566,2.450727273,0.053181818,2.170042288
GYM_HAR,S58,old,up,Savanna,2,3.511160387,2.01692,0.0674,3.341728973
GYM_HAR,S58,young,up,Savanna,1,6.714356089,2.082625,0.0539375,2.589880559
GYM_HAR,S58,young,up,Savanna,2,3.059122848,1.5285,0.0532,3.480536474
GYM_HAR,T12,old,low,Thicket,1,7.70775537,2.3147,0.1785,7.711582494
GYM_HAR,T12,old,low,Thicket,2,3.269623017,4.461375,0.18275,4.096270769
GYM_HAR,T12,old,low,Thicket,3,5.135000133,4.156142857,0.181428571,4.365311243
GYM_HAR,T12,old,up,Thicket,1,2.124245968,3.923,0.079217391,2.019306431
GYM_HAR,T12,old,up,Thicket,2,2.583543556,4.144470588,0.154941176,3.738503463
GYM_HAR,T12,old,up,Thicket,3,1.464023747,3.5885,0.04175,1.163438763
GYM_HAR,T12,young,up,Thicket,1,3.877939231,2.705615385,0.101538462,3.752878628
GYM_HAR,T12,young,up,Thicket,2,4.082805393,2.062791667,0.128708333,6.239521684
GYM_HAR,T12,young,up,Thicket,3,4.611871457,3.979923077,0.191076923,4.801020507
GYM_HAR,T13,old,up,Thicket,1,14.56020628,4.558634146,0.487414634,10.69212002
GYM_HAR,T13,old,up,Thicket,2,7.60182862,3,0.225627907,7.520930233
GYM_HAR,T13,old,up,Thicket,3,14.32407575,3.366465116,0.419,12.44628967
GYM_HAR,T17,old,low,Thicket,1,3.143295771,5.030470588,0.173058824,3.440211417
GYM_HAR,T17,old,low,Thicket,2,14.03556805,4.550136364,0.611863636,13.44714944
GYM_HAR,T17,old,up,Thicket,1,0.776954143,6.166,0.059777778,0.969474177
GYM_HAR,T17,old,up,Thicket,2,6.325785404,4.607307692,0.288153846,6.25427832
GYM_HAR,T17,young,up,Thicket,1,4.116327591,2.417333333,0.048,1.985659129
GYM_HAR,T22,old,low,Thicket,1,11.96414067,4.481666667,0.473444444,10.56402628
GYM_HAR,T22,old,low,Thicket,2,15.26709384,3.929090909,0.621909091,15.82832022
GYM_HAR,T22,old,low,Thicket,3,2.344007453,1.161,0.023,1.981050818
GYM_HAR,T22,old,up,Thicket,1,13.1260892,3.609142857,0.422904762,11.71759552
GYM_HAR,T22,old,up,Thicket,2,13.48077505,3.676454545,0.540636364,14.70537326
GYM_HAR,T22,old,up,Thicket,3,11.12244597,1.1159,0.1502,13.45998745
GYM_HAR,T22,young,up,Thicket,2,0.644526802,6.0520625,0.03625,0.59896936
GYM_HAR,T22,young,up,Thicket,3,0.659643048,3.678363636,0.026666667,0.724960045
GYM_HAR,T23,old,low,Thicket,1,5.040163074,0.825166667,0.037833333,4.584932337
GYM_HAR,T23,old,low,Thicket,2,1.281492858,2.932545455,0.033727273,1.1501023
GYM_HAR,T23,old,low,Thicket,3,0.6948035,2.6025,0.019125,0.734870317
GYM_HAR,T23,old,up,Thicket,1,1.906168187,1.686985075,0.026164179,1.550943129
GYM_HAR,T23,old,up,Thicket,2,1.128486319,3.75004,0.03684,0.982389521
GYM_HAR,T23,old,up,Thicket,3,3.916182379,4.61844,0.2188,4.737530422
GYM_HAR,T23,young,up,Thicket,2,1.477239804,1.884571429,0.050857143,2.698605215
GYM_HAR,T23,young,up,Thicket,3,0.037031425,2.055857143,7.14E-04,0.034743937
GYM_HAR,T24,old,low,Thicket,1,1.800138342,4.341666667,0.072416667,1.667946257
GYM_HAR,T24,old,low,Thicket,2,24.2979158,4.009333333,0.961,23.96907216
GYM_HAR,T24,old,low,Thicket,3,18.70636851,2.7045,0.4965,18.35829174
GYM_HAR,T24,old,up,Thicket,1,7.587101216,3.23025,0.292555556,9.056746554
GYM_HAR,T24,old,up,Thicket,2,16.28764945,4.408516129,0.764870968,17.34985073
GYM_HAR,T24,old,up,Thicket,3,8.3371379,3.385947368,0.250894737,7.409882953
GYM_HAR,T24,young,up,Thicket,2,4.124943033,3.167333333,0.145555556,4.595523749
GYM_HAR,T24,young,up,Thicket,3,2.437296484,2.22825,0.03725,1.671715472
KRA_FLO,F1,old,low,Forest,2,8.565134261,15.56,1.9635,12.6188946
KRA_FLO,F1,old,up,Forest,1,0.110477942,23.09975,0.02875,0.124460221
KRA_FLO,F1,old,up,Forest,2,2.419847511,14.22177778,0.446888889,3.142285696
KRA_FLO,F1,young,up,Forest,1,1.480415803,12.6825,0.08875,0.699783166
KRA_FLO,F1,young,up,Forest,2,2.002557057,10.92125,0.23025,2.108275152
KRA_FLO,F2,old,low,Forest,1,3.487893692,18.25057143,0.693571429,3.800272399
KRA_FLO,F2,old,low,Forest,2,13.58727771,11.1034,0.7238,6.518723994
KRA_FLO,F2,old,up,Forest,1,8.968234256,20.54842857,1.750571429,8.519247214
KRA_FLO,F2,old,up,Forest,2,2.343665863,15.936,0.3054,1.916415663
KRA_FLO,F2,young,up,Forest,1,6.812752074,10.53888889,0.553111111,5.248286769
KRA_FLO,F2,young,up,Forest,2,19.57102443,7.718625,0.824875,10.68681274
KRA_FLO,F7,old,low,Forest,1,18.98639047,9.791,2.331,23.80757839
KRA_FLO,F7,old,up,Forest,1,17.03890361,13.17145455,2.564363636,19.46909984
KRA_FLO,F7,young,up,Forest,1,5.257752169,2.96625,0.115,3.87694901
KRA_FLO,S10,old,low,Savanna,1,3.291184241,21.529,0.76,3.530122161
KRA_FLO,S10,old,low,Savanna,2,32.75608824,14.235,4.354,30.58658237
KRA_FLO,S10,old,low,Savanna,3,13.93965057,10.16566667,1.561666667,15.36216677
KRA_FLO,S10,old,up,Savanna,1,35.65830599,24.82033333,9.006333333,36.28610951
KRA_FLO,S10,old,up,Savanna,2,23.33698419,10.57790909,2.377181818,22.47307854
KRA_FLO,S10,old,up,Savanna,3,11.70515173,12.292375,1.31525,10.69972239
KRA_FLO,S10,young,up,Savanna,1,22.69876974,8.641833333,1.134666667,13.12992999
KRA_FLO,S10,young,up,Savanna,2,20.74435634,5.958666667,1.199666667,20.1331394
KRA_FLO,S10,young,up,Savanna,3,13.63316477,4.813333333,0.735444444,15.27931671
KRA_FLO,S13,old,low,Savanna,1,0.60957689,17.562,0.0905,0.515317162
KRA_FLO,S13,old,low,Savanna,2,13.18102475,12.68,1.3644,10.76025237
KRA_FLO,S13,old,low,Savanna,3,0.399658932,12.8576,0.0444,0.345321055
KRA_FLO,S13,old,up,Savanna,1,0.686936753,17.4977,0.1128,0.644656155
KRA_FLO,S13,old,up,Savanna,2,2.041796622,12.1911,0.2591,2.125320931
KRA_FLO,S13,old,up,Savanna,3,0.234149757,13.1141,0.0257,0.195972274
KRA_FLO,S13,young,up,Savanna,1,1.500896665,9.6408,0.1043,1.081860427
KRA_FLO,S13,young,up,Savanna,2,0.849687934,10.6223,0.088,0.828445817
KRA_FLO,S13,young,up,Savanna,3,0.697246263,7.5113,0.0516,0.686964973
KRA_FLO,S22,old,low,Savanna,1,1.673393566,12.2725,0.236,1.922998574
KRA_FLO,S22,old,low,Savanna,2,0.814730229,10.76883333,0.051833333,0.481327287
KRA_FLO,S22,old,low,Savanna,3,1.321089147,17.8394,0.2288,1.282554346
KRA_FLO,S22,old,up,Savanna,1,7.040193912,13.12472727,0.933090909,7.109411797
KRA_FLO,S22,old,up,Savanna,2,5.86017062,7.707769231,0.298,3.86622888
KRA_FLO,S22,old,up,Savanna,3,0.911104514,9.937272727,0.123545455,1.243253133
KRA_FLO,S22,young,up,Savanna,1,12.87353883,3.649285714,0.475,13.01624584
KRA_FLO,S22,young,up,Savanna,2,4.615052231,2.047692308,0.123923077,6.051840721
KRA_FLO,S22,young,up,Savanna,3,0.735288024,6.166571429,0.038428571,0.623175648
KRA_FLO,S25,old,low,Savanna,1,6.56721918,11.7242,0.9282,7.916958087
KRA_FLO,S25,old,up,Savanna,1,5.756626292,9.656,0.487846154,5.052259257
KRA_FLO,S25,young,up,Savanna,1,24.50845686,3.308875,0.847375,25.60915719
KRA_FLO,S27,old,low,Savanna,1,0.473637224,16.34066667,0.096666667,0.591571131
KRA_FLO,S27,old,up,Savanna,1,0.671418083,22.08633333,0.1425,0.64519537
KRA_FLO,S27,young,up,Savanna,1,0.212831833,9.654833333,0.0225,0.233043899
KRA_FLO,S30,old,low,Savanna,1,2.829716288,8.263,0.2165,2.62011376
KRA_FLO,S30,old,up,Savanna,1,5.533428774,6.923428571,0.460428571,6.650297128
KRA_FLO,S30,young,up,Savanna,1,2.53554871,5.211416667,0.13775,2.643235205
KRA_FLO,S8,old,low,Savanna,1,2.373660416,15.2186,0.3398,2.232794081
KRA_FLO,S8,old,up,Savanna,1,5.730594557,13.943,0.7482,5.366133544
KRA_FLO,S8,young,up,Savanna,1,0.796334277,5.686875,0.04325,0.760523134
KRA_FLO,T12,old,low,Thicket,1,0.167250709,12.7566,0.0122,0.095636768
KRA_FLO,T12,old,up,Thicket,1,4.909344517,11.2525,0.512142857,4.551369537
KRA_FLO,T22,old,low,Thicket,1,0.49075835,7.243,0.0302,0.416954301
KRA_FLO,T22,old,low,Thicket,2,8.212448878,8.6892,0.6855,7.889103715
KRA_FLO,T22,old,low,Thicket,3,12.08981692,13.866,1.5348,11.06880138
KRA_FLO,T22,old,up,Thicket,1,0.461201269,13.09645455,0.040090909,0.306120324
KRA_FLO,T22,old,up,Thicket,2,19.6502125,13.4162,2.306,17.18817549
KRA_FLO,T22,old,up,Thicket,3,1.08039291,15.50688889,0.149333333,0.963012855
KRA_FLO,T22,young,up,Thicket,1,0.063651275,3.8536,0.0016,0.041519618
KRA_FLO,T22,young,up,Thicket,2,18.6705845,7.39575,1.254625,16.96413481
KRA_FLO,T22,young,up,Thicket,3,2.338411453,12.835,0.260333333,2.028308012
KRA_FLO,T23,old,low,Thicket,1,3.218077081,13.0705,0.39375,3.012509085
KRA_FLO,T23,old,low,Thicket,2,4.723125903,12.72875,0.86175,6.770107041
KRA_FLO,T23,old,low,Thicket,3,4.534508411,7.770857143,0.354428571,4.560997132
KRA_FLO,T23,old,up,Thicket,1,0.424523202,16.83,0.0777,0.461675579
KRA_FLO,T23,old,up,Thicket,2,2.482791149,16.5628,0.3933,2.374598498
KRA_FLO,T23,old,up,Thicket,3,1.772919898,14.30338462,0.281461538,1.967796756
KRA_FLO,T23,young,up,Thicket,1,1.873271485,14.0395,0.19475,1.387157662
KRA_FLO,T23,young,up,Thicket,2,2.163299039,12.14133333,0.228333333,1.880628157
KRA_FLO,T23,young,up,Thicket,3,0.165760514,8.149,0.013,0.159528777
KRA_FLO,T24,old,low,Thicket,2,0.008691118,4.9885,5.00E-04,0.010023053
KRA_FLO,T24,old,low,Thicket,3,0.026283435,13.3122,0.0032,0.0240381
KRA_FLO,T24,old,up,Thicket,1,20.35399217,12.90381818,2.616272727,20.27518282
