species,site,herbivory_type,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean,herbratio
EUC_RAC,S58,sap_min_perc,Savanna,2,0.028725369,2.9832653944166667,0.029932653944166665
EUC_RAC,S58,sap_min_perc,Savanna,3,0,2.664081202526316,0.02674081202526316
EUC_RAC,S58,chew_perc,Savanna,1,0.044372145,1.1425075848095239,0.011525075848095237
EUC_RAC,S58,chew_perc,Savanna,2,0.0278901395,1.6626211400833335,0.016726211400833333
EUC_RAC,S58,chew_perc,Savanna,3,0.018702076,2.6402368221052632,0.026502368221052633
EUC_RAC,S8,sap_min_perc,Savanna,1,1.726726727,5.015644449234043,0.05025644449234043
EUC_RAC,S8,sap_min_perc,Savanna,2,0.84084816,3.4292313284857143,0.034392313284857146
EUC_RAC,S8,sap_min_perc,Savanna,3,0.96735118,5.454264685708334,0.054642646857083345
EUC_RAC,S8,chew_perc,Savanna,1,0.314341847,6.781703870808511,0.06791703870808512
EUC_RAC,S8,chew_perc,Savanna,2,0.206568891,3.4659008463142857,0.03475900846314286
EUC_RAC,S8,chew_perc,Savanna,3,1.0888656065,4.662942660625,0.046729426606250006
EUC_RAC,T12,sap_min_perc,Thicket,1,0,0,1e-4
EUC_RAC,T12,sap_min_perc,Thicket,2,0,0,1e-4
EUC_RAC,T12,sap_min_perc,Thicket,3,0.022119,1.934750860764706,0.01944750860764706
EUC_RAC,T12,chew_perc,Thicket,1,0.013609145,3.5930174782857143,0.036030174782857145
EUC_RAC,T12,chew_perc,Thicket,2,0.018014772,0.02141527536,3.141527536e-4
EUC_RAC,T12,chew_perc,Thicket,3,0.389105058,2.575246534117647,0.025852465341176467
EUC_RAC,T13,sap_min_perc,Thicket,1,0.052943668,3.1225035933529415,0.031325035933529415
EUC_RAC,T13,sap_min_perc,Thicket,2,0,1.48220206924,0.0149220206924
EUC_RAC,T13,sap_min_perc,Thicket,3,0,3.9671208745454547,0.03977120874545455
EUC_RAC,T13,chew_perc,Thicket,1,3.203230148,6.053937450941176,0.060639374509411766
EUC_RAC,T13,chew_perc,Thicket,2,4.68650032,7.15244084808,0.07162440848080001
EUC_RAC,T13,chew_perc,Thicket,3,1.8470183415,9.142876812181818,0.09152876812181818
EUC_RAC,T17,sap_min_perc,Thicket,1,0,0.1145355191200006,0.001245355191200006
EUC_RAC,T17,sap_min_perc,Thicket,2,0,0.2339771549117647,0.002439771549117647
EUC_RAC,T17,sap_min_perc,Thicket,3,0,0.10926884064999999,0.0011926884065
EUC_RAC,T17,chew_perc,Thicket,1,0.054171181,0.3504931108,0.003604931108
EUC_RAC,T17,chew_perc,Thicket,2,0.667963421,5.1881589315,0.05198158931500001
EUC_RAC,T17,chew_perc,Thicket,3,9.382194339000002,13.2253700668,0.13235370066799998
EUC_RAC,T22,sap_min_perc,Thicket,1,0.14147715649999998,1.6268045599,0.016368045599
EUC_RAC,T22,sap_min_perc,Thicket,2,1.658977128,5.39081387726087,0.0540081387726087
EUC_RAC,T22,sap_min_perc,Thicket,3,0,1.1149757459354839,0.011249757459354838
EUC_RAC,T22,chew_perc,Thicket,1,0.0566998395,4.173358532333333,0.04183358532333334
EUC_RAC,T22,chew_perc,Thicket,2,1.168155492,4.5963161436521744,0.04606316143652175
EUC_RAC,T22,chew_perc,Thicket,3,0.020116677,1.511866649967742,0.01521866649967742
EUC_RAC,T23,sap_min_perc,Thicket,1,0,0,1e-4
EUC_RAC,T23,sap_min_perc,Thicket,2,0,0,1e-4
EUC_RAC,T23,sap_min_perc,Thicket,3,0,0,1e-4
EUC_RAC,T23,chew_perc,Thicket,1,0,0.4756982611304348,0.004856982611304348
EUC_RAC,T23,chew_perc,Thicket,2,0,0.37575231087878785,0.0038575231087878783
EUC_RAC,T23,chew_perc,Thicket,3,0,0.04403013174468085,5.403013174468085e-4
EUC_RAC,T24,sap_min_perc,Thicket,1,0,0,1e-4
EUC_RAC,T24,sap_min_perc,Thicket,2,0,0,1e-4
EUC_RAC,T24,sap_min_perc,Thicket,3,0,0,1e-4
EUC_RAC,T24,chew_perc,Thicket,1,0,0.8337555297428572,0.00843755529742857
EUC_RAC,T24,chew_perc,Thicket,2,0,0.23767111776363636,0.0024767111776363634
EUC_RAC,T24,chew_perc,Thicket,3,0,1.655631073081081,0.016656310730810808
EUC_RAC,T9,sap_min_perc,Thicket,1,0.0266189125,0.17437331275,0.0018437331275
EUC_RAC,T9,sap_min_perc,Thicket,2,0.040005494,1.2273627549615385,0.012373627549615384
EUC_RAC,T9,chew_perc,Thicket,1,0.123128008,2.9704290239583333,0.029804290239583333
EUC_RAC,T9,chew_perc,Thicket,2,0.359777802,2.872519797423077,0.02882519797423077
GYM_HAR,F2,sap_min_perc,Forest,1,0,0.18692009818518518,0.001969200981851852
GYM_HAR,F2,chew_perc,Forest,1,0.037869225,1.12537226,0.0113537226
GYM_HAR,F3,sap_min_perc,Forest,1,0,0,1e-4
GYM_HAR,F3,sap_min_perc,Forest,2,0.0526551595,0.21911828425,0.0022911828424999996
GYM_HAR,F3,chew_perc,Forest,1,3.1729250254999997,11.664885324470587,0.11674885324470588
GYM_HAR,F3,chew_perc,Forest,2,2.341336633,7.295238743571429,0.0730523874357143
GYM_HAR,F4,sap_min_perc,Forest,1,0.020706169,1.4386625128461543,0.014486625128461543
GYM_HAR,F4,sap_min_perc,Forest,2,0.3560541325,0.5727638835555555,0.005827638835555556
GYM_HAR,F4,chew_perc,Forest,1,0.029951331499999997,0.9930883003461538,0.010030883003461537
GYM_HAR,F4,chew_perc,Forest,2,5.0142943185,8.6470417115,0.086570417115
GYM_HAR,F5,sap_min_perc,Forest,1,0,0,1e-4
GYM_HAR,F5,sap_min_perc,Forest,2,0,0,1e-4
GYM_HAR,F5,sap_min_perc,Forest,3,0,0,1e-4
GYM_HAR,F5,chew_perc,Forest,1,2.8783874975000003,13.0745831717,0.13084583171699998
GYM_HAR,F5,chew_perc,Forest,2,3.160808026,13.210083559916667,0.13220083559916665
GYM_HAR,F5,chew_perc,Forest,3,2.887379148,10.360403708047619,0.1037040370804762
GYM_HAR,F6,sap_min_perc,Forest,1,0,0,1e-4
GYM_HAR,F6,sap_min_perc,Forest,2,0,0,1e-4
GYM_HAR,F6,chew_perc,Forest,1,6.287602746,9.03538098596,0.0904538098596
GYM_HAR,F6,chew_perc,Forest,2,5.756139883,14.437126323304348,0.14447126323304346
GYM_HAR,F7,sap_min_perc,Forest,1,0.1595624445,5.986878530090909,0.05996878530090909
GYM_HAR,F7,sap_min_perc,Forest,2,2.2766465965,5.60039308884375,0.0561039308884375
GYM_HAR,F7,sap_min_perc,Forest,3,0,0,1e-4
GYM_HAR,F7,chew_perc,Forest,1,0.07148745249999999,7.61767861275,0.0762767861275
GYM_HAR,F7,chew_perc,Forest,2,1.5356610375,6.79881695403125,0.06808816954031251
