species,site,herbivory_type,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized
ACA_KAR,S11,sap_miner_herbivory,Savanna,2,0,2.7118235294117645,0
ACA_KAR,S11,chew_herbivory,Savanna,1,0.092,1.1634166666666665,7.907742998352553
ACA_KAR,S11,chew_herbivory,Savanna,2,0.10441176470588234,2.7118235294117645,3.850241860263335
ACA_KAR,S19,sap_miner_herbivory,Savanna,1,0,0.03025,0
ACA_KAR,S19,sap_miner_herbivory,Savanna,2,0,7.657333333333333,0
ACA_KAR,S19,sap_miner_herbivory,Savanna,3,0,13.8865,0
ACA_KAR,S19,chew_herbivory,Savanna,1,0,0.03025,0
ACA_KAR,S19,chew_herbivory,Savanna,2,0.5516666666666666,7.657333333333333,7.204422775552847
ACA_KAR,S19,chew_herbivory,Savanna,3,0.96,13.8865,6.913189068519785
ACA_KAR,S20,sap_miner_herbivory,Savanna,1,0,0.1145952380952381,0
ACA_KAR,S20,sap_miner_herbivory,Savanna,2,0,0.14982857142857142,0
ACA_KAR,S20,sap_miner_herbivory,Savanna,3,0,0.20421052631578948,0
ACA_KAR,S20,chew_herbivory,Savanna,1,0.0019523809523809524,0.1145952380952381,1.7037190941200915
ACA_KAR,S20,chew_herbivory,Savanna,2,0.004971428571428572,0.14982857142857142,3.3180778032036615
ACA_KAR,S20,chew_herbivory,Savanna,3,0.0013684210526315789,0.20421052631578948,0.6701030927835051
ACA_KAR,S21,sap_miner_herbivory,Savanna,1,0,0.03091891891891892,0
ACA_KAR,S21,chew_herbivory,Savanna,1,0,0.03091891891891892,0
ACA_KAR,S27,sap_miner_herbivory,Savanna,1,0,0.1637037037037037,0
ACA_KAR,S27,sap_miner_herbivory,Savanna,2,0,0.03457142857142857,0
ACA_KAR,S27,sap_miner_herbivory,Savanna,3,0,0.18202631578947367,0
ACA_KAR,S27,chew_herbivory,Savanna,1,0.0052037037037037034,0.1637037037037037,3.178733031674208
ACA_KAR,S27,chew_herbivory,Savanna,2,0.003971428571428571,0.03457142857142857,11.487603305785122
ACA_KAR,S27,chew_herbivory,Savanna,3,0.004,0.18202631578947367,2.1974844585803095
ACA_KAR,S30,sap_miner_herbivory,Savanna,1,0,0.09030769230769231,0
ACA_KAR,S30,sap_miner_herbivory,Savanna,2,0,0.2754074074074074,0
ACA_KAR,S30,chew_herbivory,Savanna,1,0.0015769230769230769,0.09030769230769231,1.7461669505962518
ACA_KAR,S30,chew_herbivory,Savanna,2,0.004518518518518519,0.2754074074074074,1.6406670252824103
ACA_KAR,S49,sap_miner_herbivory,Savanna,1,9e-4,0.4518,0.19920318725099603
ACA_KAR,S49,sap_miner_herbivory,Savanna,2,0,0.7426,0
ACA_KAR,S49,sap_miner_herbivory,Savanna,3,0.0015,0.31016666666666665,0.48361096184846863
ACA_KAR,S49,chew_herbivory,Savanna,1,0,0.4518,0
ACA_KAR,S49,chew_herbivory,Savanna,2,0,0.7426,0
ACA_KAR,S49,chew_herbivory,Savanna,3,0,0.31016666666666665,0
ACA_KAR,S5,sap_miner_herbivory,Savanna,1,0,0.02975,0
ACA_KAR,S5,sap_miner_herbivory,Savanna,2,0,0.1748125,0
ACA_KAR,S5,sap_miner_herbivory,Savanna,3,0,0.09777551020408164,0
ACA_KAR,S5,chew_herbivory,Savanna,1,0.006500000000000001,0.02975,21.848739495798323
ACA_KAR,S5,chew_herbivory,Savanna,2,0.030083333333333333,0.1748125,17.208914312954356
ACA_KAR,S5,chew_herbivory,Savanna,3,1.6326530612244898e-4,0.09777551020408164,0.1669797537048633
ACA_KAR,S52,sap_miner_herbivory,Savanna,1,0,0.17505128205128204,0
ACA_KAR,S52,sap_miner_herbivory,Savanna,2,0,0.09597499999999999,0
ACA_KAR,S52,sap_miner_herbivory,Savanna,3,0,0.20445,0
ACA_KAR,S52,chew_herbivory,Savanna,1,0.006487179487179487,0.17505128205128204,3.7058737366339534
ACA_KAR,S52,chew_herbivory,Savanna,2,0.0028,0.09597499999999999,2.917426413128419
ACA_KAR,S52,chew_herbivory,Savanna,3,0.0062499999999999995,0.20445,3.05698214722426
ACA_KAR,S7,sap_miner_herbivory,Savanna,1,1.1764705882352942e-4,0.0713235294117647,0.16494845360824742
ACA_KAR,S7,sap_miner_herbivory,Savanna,2,1.2e-4,0.08924,0.1344688480502017
ACA_KAR,S7,sap_miner_herbivory,Savanna,3,1.0714285714285715e-4,0.09671428571428571,0.11078286558345643
ACA_KAR,S7,chew_herbivory,Savanna,1,0.0012352941176470588,0.0713235294117647,1.731958762886598
ACA_KAR,S7,chew_herbivory,Savanna,2,2e-4,0.08924,0.2241147467503362
ACA_KAR,S7,chew_herbivory,Savanna,3,2.142857142857143e-4,0.09671428571428571,0.22156573116691286
ACA_KAR,S8,sap_miner_herbivory,Savanna,1,6.000000000000001e-4,0.05955,1.0075566750629723
ACA_KAR,S8,sap_miner_herbivory,Savanna,2,1.25e-4,0.0540625,0.23121387283236997
ACA_KAR,S8,chew_herbivory,Savanna,1,5e-5,0.05955,0.08396305625524769
ACA_KAR,S8,chew_herbivory,Savanna,2,0,0.0540625,0
ACA_KAR,S9,sap_miner_herbivory,Savanna,1,0.001,0.057107142857142856,1.7510944340212635
ACA_KAR,S9,sap_miner_herbivory,Savanna,2,5.416666666666666e-4,0.068,0.7965686274509803
