species,site,leaf_age,side,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean
BER_ZEY,S46,old,low,Savanna,2,0.236672242,0.262672576
BER_ZEY,S46,old,low,Savanna,3,0.293068075,4.158726869
BER_ZEY,S46,old,up,Savanna,1,1.934295364,1.850952544
BER_ZEY,S46,old,up,Savanna,2,0.778506255,1.284763042
BER_ZEY,S46,old,up,Savanna,3,0.971007728,1.798406238
BER_ZEY,S46,young,up,Savanna,1,0.332225914,1.518791833
BER_ZEY,S46,young,up,Savanna,2,0.377106792,0.799035775
BER_ZEY,S46,young,up,Savanna,3,0.29506041,3.530748906
BER_ZEY,S50,old,low,Savanna,1,2.490617537,6.407657111
BER_ZEY,S50,old,low,Savanna,2,5.44536603,12.46524556
BER_ZEY,S50,old,low,Savanna,3,4.14665752,8.861970168
BER_ZEY,S50,old,up,Savanna,1,5.60311284,8.230617982
BER_ZEY,S50,old,up,Savanna,2,7.053244046,10.57587672
BER_ZEY,S50,old,up,Savanna,3,2.84270162,4.357016275
BER_ZEY,S50,young,up,Savanna,1,0.371143586,0.672113191
BER_ZEY,S50,young,up,Savanna,2,0.662759207,6.876213881
BER_ZEY,S50,young,up,Savanna,3,0.149661981,2.482591401
BER_ZEY,S52,old,low,Savanna,1,17.65470337,23.85966117
BER_ZEY,S52,old,low,Savanna,2,0.151988147,7.299335225
BER_ZEY,S52,old,low,Savanna,3,0.972104109,4.488122106
BER_ZEY,S52,old,up,Savanna,1,2.091062395,10.30853993
BER_ZEY,S52,old,up,Savanna,2,0.056069526,10.75690651
BER_ZEY,S52,old,up,Savanna,3,0.056889293,9.709228443
BER_ZEY,S52,young,up,Savanna,1,0.081967213,3.027650393
BER_ZEY,S52,young,up,Savanna,2,0.101265823,7.698902416
BER_ZEY,S52,young,up,Savanna,3,0.069463573,0.786199949
BER_ZEY,S55,old,low,Savanna,1,2.959458339,3.79151475
BER_ZEY,S55,old,up,Savanna,1,7.48983659,8.626914685
BER_ZEY,S55,young,up,Savanna,1,2.34886162,5.066536635
BER_ZEY,S58,old,low,Savanna,1,0.505794811,6.9775933
BER_ZEY,S58,old,low,Savanna,2,0.506443156,0.493581026
BER_ZEY,S58,old,up,Savanna,1,20.27579162,19.41786077
BER_ZEY,S58,old,up,Savanna,2,1.671626249,2.1226269
BER_ZEY,S58,young,up,Savanna,1,0.077041602,0.371020779
BER_ZEY,S58,young,up,Savanna,2,0.650086861,0.643867581
BER_ZEY,S8,old,low,Savanna,1,2.134886224,4.808568834
BER_ZEY,S8,old,low,Savanna,2,8.810505421,19.46641027
BER_ZEY,S8,old,up,Savanna,1,3.592814371,4.424561914
BER_ZEY,S8,old,up,Savanna,2,4.682779456,5.690837894
BER_ZEY,S8,old,up,Savanna,3,5.836989762,10.98602694
BER_ZEY,S8,young,up,Savanna,1,0.279156328,3.187546904
BER_ZEY,S8,young,up,Savanna,2,0.143988481,0.315706676
BER_ZEY,S8,young,up,Savanna,3,0.333148251,2.443434544
BER_ZEY,S9,old,low,Savanna,1,5.55730644,6.481337435
BER_ZEY,S9,old,up,Savanna,1,1.89124432,3.523605485
BER_ZEY,S9,young,up,Savanna,1,0.147167035,7.155905582
BER_ZEY,T12,old,low,Thicket,1,0.400254367,0.395481004
BER_ZEY,T12,old,low,Thicket,2,0.308324769,0.923628867
BER_ZEY,T12,old,low,Thicket,3,1.665756417,2.040985405
BER_ZEY,T12,old,up,Thicket,1,0.320118881,1.514200321
BER_ZEY,T12,old,up,Thicket,2,0.060679739,2.765791973
BER_ZEY,T12,old,up,Thicket,3,1.351221821,4.879040797
BER_ZEY,T12,young,up,Thicket,1,0.034942358,0.029491738
BER_ZEY,T12,young,up,Thicket,2,0.35618878,0.92972156
BER_ZEY,T12,young,up,Thicket,3,0.021317416,0.022047909
BER_ZEY,T13,old,up,Thicket,1,15.47920358,25.45824768
BER_ZEY,T13,old,up,Thicket,2,10.17491841,21.26379674
BER_ZEY,T13,old,up,Thicket,3,29.3377183,30.45220054
BER_ZEY,T17,old,low,Thicket,1,0.023157529,7.876623415
BER_ZEY,T17,old,low,Thicket,2,3.435442313,15.91203699
BER_ZEY,T17,old,low,Thicket,3,0.239091452,5.560529462
BER_ZEY,T17,old,up,Thicket,1,0.430848772,3.063954465
BER_ZEY,T17,old,up,Thicket,2,1.905979504,3.877885085
BER_ZEY,T17,old,up,Thicket,3,4.608054116,13.77611703
BER_ZEY,T17,young,up,Thicket,1,0.06443299,0.06443299
BER_ZEY,T17,young,up,Thicket,2,18.27553121,21.98775456
BER_ZEY,T17,young,up,Thicket,3,47.6357268,43.18412857
BER_ZEY,T22,old,low,Thicket,1,0.126190203,1.649277006
BER_ZEY,T22,old,low,Thicket,2,0.126190203,1.649277006
BER_ZEY,T22,old,up,Thicket,1,0.817220607,7.286789028
BER_ZEY,T22,old,up,Thicket,2,0.548968179,8.095485081
BER_ZEY,T22,young,up,Thicket,1,3.682193206,4.925353145
BER_ZEY,T22,young,up,Thicket,2,3.682193206,4.925353145
BER_ZEY,T23,old,low,Thicket,1,0.310787139,2.146070043
BER_ZEY,T23,old,low,Thicket,2,0.54233349,8.253389073
BER_ZEY,T23,old,low,Thicket,3,2.551157782,3.483285795
BER_ZEY,T23,old,up,Thicket,1,1.390477552,4.386450939
BER_ZEY,T23,old,up,Thicket,2,10.74170717,12.01811847
BER_ZEY,T23,old,up,Thicket,3,1.114997814,2.16707289
BER_ZEY,T23,young,up,Thicket,1,4.646271511,11.61844893
BER_ZEY,T23,young,up,Thicket,2,0.01496334,3.174873743
BER_ZEY,T23,young,up,Thicket,3,0.041876047,3.413357642
BER_ZEY,T9,old,low,Thicket,2,0.065091364,4.066359626
BER_ZEY,T9,old,up,Thicket,2,0.191864487,3.866307942
BER_ZEY,T9,young,up,Thicket,1,1.045774044,5.345127702
BRA_ILL,S58,old,low,Savanna,1,0.268826811,0.824730642
BRA_ILL,S58,old,low,Savanna,2,0.268826811,0.656164005
BRA_ILL,S58,old,low,Savanna,3,1.161863914,1.161863914
BRA_ILL,S58,old,up,Savanna,1,2.901554404,12.02708911
BRA_ILL,S58,old,up,Savanna,2,4.559748428,16.34907128
BRA_ILL,S58,old,up,Savanna,3,1.27352814,7.272908726
BRA_ILL,S58,young,up,Savanna,1,0.45379538,2.380486918
BRA_ILL,S58,young,up,Savanna,2,0.628675725,5.991160311
BRA_ILL,S58,young,up,Savanna,3,0.453340349,0.575150221
BRA_ILL,T9,old,low,Thicket,1,0.71063558,1.920536696
BRA_ILL,T9,old,low,Thicket,2,0.308590492,0.413583194
BRA_ILL,T9,old,low,Thicket,3,4.180966949,4.180966949
BRA_ILL,T9,old,up,Thicket,1,0.831935592,2.301519168
BRA_ILL,T9,old,up,Thicket,2,1.52217649,2.869318704
BRA_ILL,T9,old,up,Thicket,3,0.958616174,2.305150887
CAN_INE,F4,old,low,Forest,1,0.432276657,5.381266979
CAN_INE,F4,old,low,Forest,2,4.24298872,9.144632322
CAN_INE,F4,old,low,Forest,3,2.288309144,3.282851222
CAN_INE,F4,old,up,Forest,1,0.145833333,4.64529363
CAN_INE,F4,old,up,Forest,2,0.033928208,1.552440788
CAN_INE,F4,old,up,Forest,3,0.133468587,1.507154988
CAN_INE,F4,young,up,Forest,1,0.064724919,13.57904815
CAN_INE,F4,young,up,Forest,2,0.269360269,2.125282735
CAN_INE,F4,young,up,Forest,3,0.113238948,0.298103739
CAN_INE,F5,old,low,Forest,1,0.013632336,6.654460349
CAN_INE,F5,old,up,Forest,1,0.013084251,0.728947515
CEL_AFR,F1,old,low,Forest,1,13.76308734,22.57248963
CEL_AFR,F1,old,low,Forest,2,29.23914484,33.97706791
CEL_AFR,F1,old,up,Forest,1,0.424163902,6.292265686
CEL_AFR,F1,old,up,Forest,2,28.66358555,33.25495189
CEL_AFR,F1,young,up,Forest,1,0.119189511,1.433725258
CEL_AFR,F3,old,low,Forest,1,6.633031607,7.430473711
CEL_AFR,F3,old,up,Forest,1,8.517450201,11.96019336
CEL_AFR,F3,young,up,Forest,1,9.546769527,12.7573941
CEL_AFR,F4,old,low,Forest,1,0.280656304,0.542844866
CEL_AFR,F4,old,low,Forest,2,11.39178407,16.23889763
CEL_AFR,F4,old,low,Forest,3,1.029707865,1.169300144
CEL_AFR,F4,old,up,Forest,1,0.061865606,0.70817115
CEL_AFR,F4,old,up,Forest,2,0.252300386,3.017806873
CEL_AFR,F4,old,up,Forest,3,3.303646648,19.70845869
CEL_AFR,F4,young,up,Forest,1,0.617124133,4.527736256
