site,habitat,herb_type,herbivory_cm2,plot_diversitySP,plot_diversitySP,ACA_BUR ,ACA_CAF,ACA_GER,ACA_GRA,ACA_KAR,ACA_NIG,ACA_NIL,ACA_ROB,BER_ZEY,BER_LUC,BRA_ILL,CAN_INE,CEL_AFR,CHA_ARI,COM_MOL,COR_CAF,DIC_CIN,DIO_DIC,DIO_NAT,DIO_SIM,DOM_ROT,DRY_ARG,ENG_NAT,ERY_EMA,EUC_DIV,EUC_NAT,EUC_RAC,GRE_FLA,GYM_BUX,GYM_HAR,GYM_MAR,HIP_PAU,KRA_FLO,OLE_EUR,ORM_TRI,PLE_ARM,RAW_LUC,RHU_PEN,SCH_BRA,SCL_BIR,SCO_ZEY ,SCU_MYR,SID_INE,SPI_AFR,TAR_CAM,TAR_PAV,ZAN_CAP,ZIZ_MUC
S58,savanna,chewing,3.23894802,,,0,0,0,0.085257485,0,0.122870229,0,0,0,0,0,0,0,0,0,0,0.030187346,0,0,0,0,0,0,0,1.892628571,0,0.075239884,0,0,0.163316708,0,0,0,0,0,0,0,0,0,0,0,0,0.397068323,0,0,0,0,0.472379473
S7,savanna,chewing,1.907549771,,,0,0.002400915,0,0,0,0,0.018209877,0.003638158,0,0,0,0,0,0,0,0,0.321998357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61654352,0,0,0,0,0,0,0,0,0,0.944758945
S8,savanna,chewing,3.292485578,,,0,0,0,0,0.05405428,0,0.024279835,0,0,0,0,0,0,0,0,0,0.377341824,0.048132075,0,0,0,0,0,0,0,0,0,0,0,0,1.08321105,0,0,0,0,0,0,1.233087041,0,0,0,0,0,0,0,0,0,0.472379473
S9,savanna,chewing,9.10028517,,,0,0,0,0,0.121622129,0,0.006069959,0,0,0,0,0,0,0,0,0,0.306904684,0,0,0,0,0,0,0,0,0,0,0,0,0,8.665688398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T23,thicket,chewing,131.7690216,,,0,0,0,0,0,0,0,0.005238318,0,0,0,0,0,0,0,3.203504464,0.135313472,0,0,0,0,0,0,0,0.998091153,0,21.37109528,0.889663987,0,2.365192982,0,0,55.59943396,0,0,2.161833333,0,0,0,0,0,20.39316864,17.79362952,0.043477151,0,0,0,6.80937931
T17,thicket,chewing,121.9313196,,,0,0,0,0,0,0,0,0,0,0,0.697409722,0,0,0,0,0,0.035608808,0,0.043135666,17.22575342,0,0,0,0,27.19798391,0,29.79227993,0,1.773420732,12.00790283,0,0,0,0.516970588,0,0,0,0,5.176551724,0,0,0,21.26555723,1.024818548,0.840685106,0,0,4.333241379
T22,thicket,chewing,47.99728338,,,0.01637037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.430013333,0,5.639383562,0,0,0,0,6.154895442,0,5.576695616,2.224159968,0,4.23005668,0,0,1.785849057,0,0,7.206111111,0,0,0,0,0,0,1.08497741,11.64877083,0,0,0,0
T24,thicket,chewing,56.02274828,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3590625,0,0,0,0,0,0,0,0,0,0,19.94885076,0,0,13.69082861,1.454589928,0,0,0,0,0,0,0,0,0,0,6.766683051,12.80273343,0,0,0,0,0
T13,thicket,chewing,127.4354198,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017804404,0,0.703111348,2.768424658,0,0,0,0,8.026316354,0.223447368,38.475457,0,0,8.642051282,0,0.077727273,0.595283019,0.552073529,0,0,0,0,0,0,0,0,67.05160392,0,0.300244681,0,0.001875,0
T9,thicket,chewing,96.2480911,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053413212,0,1.992867747,5.793184932,0,0,0,0,10.02249866,0,19.35001096,5.782815916,0,14.23664238,0,0,0,0,0,12.25038889,0,0,0,0,0,0,0,7.040192876,19.72607553,0,0,0
T12,thicket,chewing,119.0104537,,,0,0,0,0,0,0,0,0.001378505,0,0,0,0,0,0,0,0,0,0,4.158278157,10.5610274,0,0,0,0,11.76915818,1.295994737,44.01472513,2.097065113,0,10.55239946,0,0,0,0,0,15.22290972,0,0,0,0,0,0,9.547801205,4.872546371,4.143376596,0,0,0.773793103
F1,forest,mining,103.2744387,,,0,0,0,0,0,0,0,0,0,0,0,0.038333333,1.788869347,0,0,0,0,0,0,0,0,0,101.3730434,0.074192632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,forest,mining,160.55965,,,0,0,0,0,0,0,0,0,0,0,0,0.070277778,2.044422111,0.611218905,0,0,0,0,0,0,0,1.839989691,152.22171,0.026497368,0,0,0,0,0,0.855288462,0,0,0,0,0,0,1.783492366,0,0,0,1.106753247,0,0,0,0,0,0,0
F5,forest,mining,59.95403754,,,0,0,0,0,0,0,0,0,0,0,0,0,8.177688442,0.611218905,0,0,0,0,0,0,0,17.08561856,31.97499065,0,0,0,0,0,0,0,0,0,0,0,0,0,2.104520992,0,0,0,0,0,0,0,0,0,0,0
F6,forest,mining,71.28933584,,,0,0,0,0,0,0,0,0,0,0,0,0,6.133266332,0,0,0,0,0,0,0,0,0,60.44764966,0,0,0,0,0,0,0,0,0,0,0,0,0,4.708419847,0,0,0,0,0,0,0,0,0,0,0
F7,forest,mining,70.98564415,,,0,0,0,0,0,0,0,0,0,0,0,0.037694444,1.022211055,0,0,0,0,0,0,0,0,0,67.7117449,0,0,0,0,0,0,0.366552198,0,0,0,0,0,0,0,0,0,0,1.383441558,0,0,0,0,0.464,0,0
F2,forest,mining,73.50938192,,,0,0,0,0,0,0,0,0,0,0,0,0.0575,1.022211055,0,0,0,0,0,0,0,0,0,70.50063861,0,0,0,0,0,0,0.733104396,0,0,0,0,0,0,0.089174618,0,0,0,1.106753247,0,0,0,0,0,0,0
F3,forest,mining,178.0172883,,,0,0,0,0,0,0,0,0,0,0,0,0.025555556,0.766658291,0,0,0,0,0,0,0,0,0,174.7922917,0.158984211,0,0,0,0,0,1.344024725,0,0,0.66225,0,0,0,0.267523855,0,0,0,0,0,0,0,0,0,0,0
